"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
1,0.676599474145486,0.0748795874805033,6.55511693083132e-07,0.0403225806451613,0.0751331651247547,7.075,10,-125,1418.41463414634
2,0.505592748139216,0.0772377302734954,7.45417504059141e-07,0.030791788856305,0.102836735522097,17.63,21,-559,5944.34146341463
3,0.371136852708209,0.0341296968894481,1.26092629302703e-07,0.0155210643015521,0.0386892026815005,3.875,7,-328,455.829268292683
4,0.569106305761379,0.0687138530988377,5.52639369166019e-07,0.0335051546391753,0.0751822982147347,9.932,13,-265,2292.19512195122
5,0.479572608866709,0.0716763010570103,6.33508092875834e-07,0.0279329608938547,0.0970986013177667,16.597,20,-593,5318.21951219512
6,0.479572608866709,0.0716763010570103,6.33508092875834e-07,0.0279329608938547,0.0970986013177667,16.597,20,-593,5318.21951219512
7,0.495560072750615,0.0935144983368559,1.22307594197009e-06,0.0316518298714144,0.146888023502084,28.29,32,-888,13992.7804878049
