"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
1,0.0412541114863952,0.000654619850530143,4.29135600565689e-11,0.00030229746070133,0.000709212431111917,-2.997,12,-12195,-8792.8230609796
2,0.802587288183266,0.203723085070249,8.86395327837028e-06,0.0846437462578388,0.286666484450109,13282.616,13430,-131164,3947570371.28854
3,0.847153002528504,0.176527789496096,4.85735798226283e-06,0.0952006392488826,0.194827245437092,7561.992,7625,-52593,1272557821.70765
4,0.767576335481177,0.0305559945573123,1.01764701630813e-07,0.0114425060964172,0.0417319343021851,358.359,366,-4485,2934886.65899422
5,0.767576335481177,0.0305559945573123,1.01764701630813e-07,0.0114425060964172,0.0417319343021851,358.359,366,-4485,2934886.65899422
6,0.667324647637092,0.0202360093811879,4.32299717156955e-08,0.00782296359430172,0.0265821907801353,248.602,257,-5351,1445548.51358132
7,0.692383701464851,0.0122947526710631,1.59425773091435e-08,0.00292407719563796,0.0259987930557102,80.557,85,-1568,158331.829642558
8,0.0105872692237201,0.00104976246878794,1.10726268080094e-10,0.000231945216036393,0.00237666563585115,-386.022,124,-507108,-168002.881058871
9,0.683219775582316,0.0184799985408209,3.60960692624083e-08,0.00637755102040816,0.027115921477858,193.151,200,-3859,875748.134286026
10,0.683219775582316,0.0184799985408209,3.60960692624083e-08,0.00637755102040816,0.027115921477858,193.151,200,-3859,875748.134286026
11,0.551837280878086,0.0101720892368458,1.06785633171465e-08,0.00334469672605647,0.015571450698772,97.513,104,-3593,235295.385731428
12,0.551837280878086,0.0101720892368458,1.06785633171465e-08,0.00334469672605647,0.015571450698772,97.513,104,-3593,235295.385731428
13,0,0,0,0,0,-44.26,0,-41470,-13969
14,0.351247803973554,0.0296293027738811,9.57548110242395e-08,0.0106651698007297,0.0420350266585595,1813.459,1976,-157775,85338067.9069488
15,0.217534689323397,0.0103857019235326,1.10434995224808e-08,0.00465208353954271,0.0117008193289388,393.211,470,-73529,4770849.3909676
16,0.397880759150486,0.0326395896276521,1.16485898491648e-07,0.0126262626262626,0.0432529181290984,1836.717,1970,-128523,84849027.584706
17,0,0,0,0,0,-27.844,0,-25054,2447
18,0.0487611551178034,0.000652180934043268,4.25992920734455e-11,0.000277546489036914,0.000766675297240013,-1.329,10,-8529,-6131.56754299844
19,0.0233103437965876,0.000199077748556215,3.96564410886844e-12,6.41704366798216e-05,0.000308841878130367,-4.458,2,-3666,-3536.68550234537
20,0.683166458601762,0.0184778293996031,3.60871786490714e-08,0.00637734766110775,0.0271104098135228,193.15,200,-3860,875747.134286026
21,NA,NA,NA,0,NA,0,0,0,27501
