nnet,tarantula,ochiai,zoltar,kulczynski1,kulczynski2,wong,wong1,wong2,tandg
0.2247557,0.71009772,0.188925081,0.188925081,0.71009772,0.074918567,0.074918567,0.074918567,0.71009772,0.074918567
0.71009772,0.71009772,0.71009772,0.71009772,0.71009772,0.71009772,0.71009772,0.71009772,0.71009772,0.71009772
0,0.885993485,0.364820847,0.462540717,0.364820847,0.885993485,0.364820847,0.364820847,0.885993485,0.364820847
0,0.61237785,0,0,0,0,0,0,0.71009772,0
0.628664495,0.462540717,0.628664495,0.628664495,0.628664495,0.628664495,0.628664495,0.628664495,0,0.628664495
0.827361564,0.827361564,0.403908795,0.403908795,0.403908795,0.403908795,0.403908795,0.403908795,0.403908795,0.403908795
0.446254072,0.498371336,0,0,0,0,0,0,0.71009772,0
0.456026059,0.403908795,0.530944625,0.530944625,0.403908795,0.530944625,0.530944625,0.530944625,0,0.530944625
0.925081433,0.925081433,0.501628664,0.501628664,0.501628664,0.501628664,0.501628664,0.501628664,0.501628664,0.501628664
0.827361564,0.736156352,0.478827362,0.478827362,0.478827362,0.364820847,0.478827362,0.478827362,0.371335505,0.478827362
0.172638436,0.462540717,0.628664495,0.628664495,0.628664495,0.628664495,0.628664495,0.628664495,0.364820847,0.628664495
0.71009772,0.71009772,0.71009772,0.71009772,0.71009772,0.71009772,0.71009772,0.71009772,0.71009772,0.71009772
0.263843648,0.925081433,0.501628664,0.501628664,0.501628664,0.501628664,0.501628664,0.501628664,0.501628664,0.501628664
0.71009772,0.074918567,0,0,0,0.074918567,0,0,0.074918567,0
0.596091205,0.885993485,0.364820847,0.364820847,0.364820847,0.51465798,0.364820847,0.364820847,0.885993485,0.364820847
0.628664495,0.51465798,0.628664495,0.628664495,0.628664495,0.628664495,0.628664495,0.628664495,0.462540717,0.628664495
0.628664495,0.338762215,0.628664495,0.628664495,0.628664495,0.628664495,0.628664495,0.628664495,0,0.628664495
0.628664495,0.127035831,0.628664495,0.628664495,0.2247557,0.628664495,0.628664495,0.628664495,0,0.628664495
0.885993485,0.885993485,0.364820847,0.364820847,0.364820847,0.462540717,0.364820847,0.364820847,0.885993485,0.364820847
