"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
1,0.441717791411043,0.098058067569092,1.19044784647985e-06,0.0526315789473684,0.100961538461538,-1.5,1,-6,-1.46153846153846
2,0.580645161290323,0.175411603861406,4.54523761365935e-06,0.105263157894737,0.176923076923077,-0.6,2,-6,8.61538461538462
3,0.48,0.14824986333222,3.03018825044506e-06,0.0869565217391304,0.148351648351648,-0.802,2,-10,4.61538461538462
4,0.48,0.104828483672192,1.38885223862148e-06,0.0555555555555556,0.10989010989011,-1.4,1,-5,-0.461538461538462
5,0.48,0.104828483672192,1.38885223862148e-06,0.0555555555555556,0.10989010989011,-1.4,1,-5,-0.461538461538462
6,0.648648648648649,0.240192230707631,9.9992667204405e-06,0.157894736842105,0.240384615384615,0.3,3,-6,24.2307692307692
7,0.380952380952381,0.0877058019307029,9.25907064856086e-07,0.0476190476190476,0.0884615384615385,-1.7,1,-8,-3.46153846153846
8,0.441717791411043,0.098058067569092,1.19044784647985e-06,0.0526315789473684,0.100961538461538,-1.5,1,-6,-1.46153846153846
9,0.409090909090909,0.0924500327042048,1.04164388070678e-06,0.05,0.094017094017094,-1.6,1,-7,-2.46153846153846
