"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
1,0.512780975877193,0.0917109618697956,1.10056036498397e-06,0.0369913686806412,0.122098239318156,27.092,30,-88,1806.95850622407
2,0.546176365528273,0.209586254942227,7.04283147645881e-06,0.132146204311153,0.210130181750693,137.725,141,-344,40957.4937759336
3,0.449543707724339,0.114970789373448,1.72057619052367e-06,0.0604796663190824,0.12249701370552,54.916,58,-236,6789.0193637621
4,0.547579843296345,0.146936612191029,3.08453577280839e-06,0.0775280898876405,0.160832596422012,65.974,69,-167,9761.36514522822
5,0.497983102341016,0.184268833901166,5.10579571660815e-06,0.112788632326821,0.184479938359322,123.68,127,-403,33117.4467496542
6,0.497983102341016,0.184268833901166,5.10579571660815e-06,0.112788632326821,0.184479938359322,123.68,127,-403,33117.4467496542
7,0.469456605788096,0.204087942218799,6.62121277574574e-06,0.126479289940828,0.206310814448893,167.41,171,-629,60078.3651452282
