"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
1,0.476190476190476,0.106600358177805,1.42853469482213e-06,0.0588235294117647,0.107954545454545,-1.5,1,-6,-0.636363636363637
2,0.414201183431953,0.0953462589245592,1.11108642030177e-06,0.0526315789473684,0.0954545454545455,-1.7,1,-8,-2.63636363636364
3,0.514705882352941,0.161164592805076,3.70354596007948e-06,0.0952380952380952,0.162337662337662,-0.802,2,-10,7.09090909090909
4,0.514705882352941,0.113960576459638,1.66661944578237e-06,0.0625,0.116883116883117,-1.4,1,-5,0.363636363636363
5,0.514705882352941,0.113960576459638,1.66661944578237e-06,0.0625,0.116883116883117,-1.4,1,-5,0.363636363636363
6,0.414201183431953,0.0953462589245592,1.11108642030177e-06,0.0526315789473684,0.0954545454545455,-1.7,1,-8,-2.63636363636364
7,0.679611650485437,0.21320071635561,7.40694104445276e-06,0.133333333333333,0.215909090909091,-0.4,2,-4,13.0909090909091
8,0.476190476190476,0.106600358177805,1.42853469482213e-06,0.0588235294117647,0.107954545454545,-1.5,1,-6,-0.636363636363637
9,0.443037974683544,0.100503781525921,1.24997031320506e-06,0.0555555555555556,0.101010101010101,-1.6,1,-7,-1.63636363636364
