"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
1,0.577219651905706,0.146158233097445,3.79508478219403e-06,0.0513775130305287,0.229256965944272,66.109,69,-32,4725.31578947368
2,0.490463506733845,0.228192669991079,9.18610893604118e-06,0.136629798308393,0.242630232871181,206.774,210,-226,43840.2013729977
3,0.493686813631748,0.173968589129951,4.96071571413269e-06,0.084144645340751,0.210104618208653,117.962,121,-127,14502.7398932113
4,0.424203850104962,0.133695455618998,2.62014212836874e-06,0.0595890410958904,0.167855700632656,83.974,87,-149,7414.16018306636
5,0.462032549826873,0.218378028999863,8.10355200651545e-06,0.131064902331443,0.229617774015335,204.726,208,-276,42954.8405797101
6,0.462032549826873,0.218378028999863,8.10355200651545e-06,0.131064902331443,0.229617774015335,204.726,208,-276,42954.8405797101
7,0.563737705021778,0.349583594416782,2.92107581638805e-05,0.265971316818774,0.351949044473761,404.579,408,-223,166113.71395881
